arm,maf_bin,n_alleles,true_copies,predicted_copies,tp,sn_num,ppv_num,f1_num,cr_num,r_z_num,r_weight,sn,ppv,f1,concordance,r2,f1_fold_sd
SNP2HLA,AF=0,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SNP2HLA,0-0.1%,82,6,5.0,4.0,4.0,4.0,4.0,4.0,29.017314476990677,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9999980000009999,
SNP2HLA,0.1-0.5%,61,18,17.0,13.0,13.0,13.0,12.666666666666666,13.0,76.0411180540133,14.0,0.7222222222222222,0.7222222222222222,0.7037037037037037,0.7222222222222222,0.9999233883045446,
SNP2HLA,0.5-1%,26,43,41.0,40.0,40.0,41.5,40.52820512820513,40.0,240.3318532027988,42.0,0.9302325581395349,0.9651162790697675,0.9425163983303518,0.9302325581395349,0.9999571626863065,
SNP2HLA,1-5%,62,349,361.0,335.0,335.0,327.9309884559884,330.13012471399566,335.0,1715.2588362718197,349.0,0.9598853868194842,0.9396303394154396,0.945931589438383,0.9598853868194842,0.999784678186105,
SNP2HLA,5-10%,23,329,333.0,320.0,320.0,317.2226666307549,318.22778050938007,320.0,1313.7602520604155,329.0,0.9726443768996961,0.964202634136033,0.9672576915178726,0.9726443768996961,0.9986406792560402,
SNP2HLA,10-20%,13,376,379.0,360.0,360.0,360.4071794871795,359.29118134823256,360.0,1234.3372858570453,376.0,0.9574468085106383,0.9585297326786689,0.9555616525218951,0.9574468085106383,0.9943840437919451,
SNP2HLA,>=20%,2,106,100.0,97.0,97.0,102.81617647058823,99.78005115089513,97.0,175.26241238155677,106.0,0.9150943396226415,0.9699639289678135,0.9413212372725956,0.9150943396226415,0.863645512328514,
CookHLA,AF=0,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CookHLA,0-0.1%,82,6,7.0,5.0,5.0,5.0,5.0,5.0,36.27164309623835,5.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9999980000009999,
CookHLA,0.1-0.5%,61,18,19.0,14.0,14.0,13.5,13.666666666666666,14.0,88.99878267287542,15.0,0.7777777777777778,0.75,0.7592592592592592,0.7777777777777778,0.9999719135706238,
CookHLA,0.5-1%,26,43,44.0,40.0,40.0,40.0,39.67106227106227,40.0,204.60497817015167,42.0,0.9302325581395349,0.9302325581395349,0.9225828435130761,0.9302325581395349,0.9997652330484177,
CookHLA,1-5%,62,349,359.0,330.0,330.0,326.114238247133,326.61594167194886,330.0,1556.1704077983863,349.0,0.9455587392550143,0.9344247514244499,0.9358622970542947,0.9455587392550143,0.9994642567685326,
CookHLA,5-10%,23,329,329.0,319.0,319.0,319.86756383712907,319.018470399139,319.0,1287.0203615452879,329.0,0.9696048632218845,0.972241835371213,0.9696610042527022,0.9696048632218845,0.9984009373020457,
CookHLA,10-20%,13,376,380.0,357.0,357.0,357.4567624404581,356.18812309460696,357.0,971.9270687331048,376.0,0.949468085106383,0.9506828788310056,0.9473088380175717,0.949468085106383,0.9775141576842291,
CookHLA,>=20%,2,106,98.0,94.0,94.0,101.58786711603274,97.58753676871119,94.0,161.81481422172246,106.0,0.8867924528301887,0.9583761048682334,0.920637139327464,0.8867924528301887,0.8277964209997043,
DEEP*HLA,AF=0,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DEEP*HLA,0-0.1%,82,6,1.0,1.0,1.0,1.0,1.0,1.0,7.254328619247669,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9999980000009999,
DEEP*HLA,0.1-0.5%,61,18,19.0,12.0,12.0,13.5,12.333333333333332,12.0,69.66124740014979,14.0,0.6666666666666666,0.75,0.6851851851851851,0.6666666666666666,0.9998094141311951,
DEEP*HLA,0.5-1%,26,43,39.0,37.0,37.0,40.5,38.3948717948718,37.0,213.43870190234065,42.0,0.8604651162790697,0.9418604651162791,0.8929039952295766,0.8604651162790697,0.9998458416800685,
DEEP*HLA,1-5%,62,349,353.0,337.0,337.0,332.55400432900433,333.7672123534192,337.0,1987.0861544657241,345.0,0.9656160458452722,0.9528768032349694,0.9563530439926052,0.9656160458452722,0.9999602565510521,
DEEP*HLA,5-10%,23,329,332.0,320.0,320.0,318.03782467532466,318.6261655783648,320.0,1631.6021315853463,329.0,0.9726443768996961,0.966680318162081,0.9684685883840876,0.9726443768996961,0.9998030101064863,
DEEP*HLA,10-20%,13,376,385.0,372.0,372.0,364.1371140410187,367.75659451146043,372.0,1703.0912577244287,376.0,0.9893617021276596,0.9684497713856881,0.9780760492326075,0.9893617021276596,0.9995347493924128,
DEEP*HLA,>=20%,2,106,107.0,104.0,104.0,103.04225352112675,103.5177304964539,104.0,386.068645558353,106.0,0.9811320754716981,0.9720967313313844,0.9765823631740933,0.9811320754716981,0.9972588881956913,
AutoHLA,AF=0,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
AutoHLA,0-0.1%,82,6,5.0,3.0,3.0,3.0,3.0,3.0,21.762985857743008,3.0,0.5,0.5,0.5,0.5,0.9999980000009999,
AutoHLA,0.1-0.5%,61,18,23.0,11.0,11.0,10.5,10.666666666666666,11.0,67.22599257943824,13.0,0.6111111111111112,0.5833333333333334,0.5925925925925926,0.6111111111111112,0.9998710686549906,
AutoHLA,0.5-1%,26,43,51.0,39.0,39.0,37.75,38.285714285714285,39.0,246.26595954948948,42.0,0.9069767441860465,0.877906976744186,0.8903654485049833,0.9069767441860465,0.9999677073930237,
AutoHLA,1-5%,62,349,350.0,325.0,325.0,330.06035353535356,326.25285825285823,325.0,1728.347426584128,349.0,0.9312320916905444,0.9457316720210703,0.9348219434179319,0.9312320916905444,0.9998002362836463,
AutoHLA,5-10%,23,329,327.0,316.0,316.0,318.6984126984127,316.9224699338984,316.0,1608.9812561937636,329.0,0.9604863221884499,0.9686881844936557,0.963290182169904,0.9604863221884499,0.9997739738217952,
AutoHLA,10-20%,13,376,376.0,364.0,364.0,364.17927188552187,363.96757835048464,364.0,1182.6891330036374,376.0,0.9680851063829787,0.9685618933125582,0.9679988785917145,0.9680851063829787,0.9926150271320879,
AutoHLA,>=20%,2,106,104.0,103.0,103.0,104.98550724637681,103.98216637957239,103.0,233.6186070660582,106.0,0.9716981132075472,0.9904293136450643,0.9809638337695509,0.9716981132075472,0.9524426160244984,
AutoHLA+pair,AF=0,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
AutoHLA+pair,0-0.1%,82,6,6.0,3.0,3.0,3.0,3.0,3.0,21.762985857743008,3.0,0.5,0.5,0.5,0.5,0.9999980000009999,
AutoHLA+pair,0.1-0.5%,61,18,23.0,9.0,9.0,9.0,9.0,9.0,59.087401759112225,12.0,0.5,0.5,0.5,0.5,0.9997885900979758,
AutoHLA+pair,0.5-1%,26,43,46.0,36.0,36.0,38.5,36.7,36.0,243.65509096685446,42.0,0.8372093023255814,0.8953488372093024,0.8534883720930233,0.8372093023255814,0.999963432376114,
AutoHLA+pair,1-5%,62,349,348.0,325.0,325.0,330.65684315684314,326.02862161992596,325.0,1625.8865699818869,349.0,0.9312320916905444,0.9474408113376594,0.934179431575719,0.9312320916905444,0.999640676288392,
AutoHLA+pair,5-10%,23,329,327.0,316.0,316.0,318.7440781440781,316.9143190968144,316.0,1668.074202765827,329.0,0.9604863221884499,0.968826985240359,0.9632654075891015,0.9604863221884499,0.999842179660477,
AutoHLA+pair,10-20%,13,376,381.0,371.0,371.0,366.5604166666667,368.64048723784015,371.0,1710.0034650176615,376.0,0.9867021276595744,0.974894725177305,0.9804268277602132,0.9867021276595744,0.9995515408750961,
AutoHLA+pair,>=20%,2,106,105.0,104.0,104.0,104.98550724637681,104.48920863309353,104.0,404.6302259134302,106.0,0.9811320754716981,0.9904293136450643,0.9857472512555993,0.9811320754716981,0.9980680103468579,
