arm,maf_bin,n_alleles,true_copies,predicted_copies,tp,sn_num,ppv_num,f1_num,cr_num,r_z_num,r_weight,sn,ppv,f1,concordance,r2,f1_fold_sd
SNP2HLA,<1%,1920,8609,8471.0,5837.0,5837.0,5861.5001174722875,5770.373977748696,5837.0,20738.40333880881,8273.0,0.6780113834359391,0.6808572560660109,0.6702722706178065,0.6780113834359391,0.9737600255612318,0.008628149531287495
SNP2HLA,1-5%,680,37017,37774.0,33627.0,33627.0,33022.69545370647,33273.998533016245,33627.0,83533.11755108472,37017.0,0.9084204554664074,0.892095400861941,0.8988842567743536,0.9084204554664074,0.9570939446613738,0.002924458132469662
SNP2HLA,5-10%,290,42096,43236.0,38540.0,38540.0,37798.5968221273,38135.85808825449,38540.0,89482.92428778451,42096.0,0.9155264158114785,0.897914215652967,0.9059259333013705,0.9155264158114785,0.9446106605402603,0.004158410780699196
SNP2HLA,10-20%,140,41214,40298.0,37978.0,37978.0,38828.75714199248,38392.48851977166,37978.0,76856.33454398697,41214.0,0.9214829912165768,0.9421254219923443,0.9315399747603158,0.9214829912165768,0.9084403918380014,0.0026142236973219096
SNP2HLA,>=20%,30,17896,17053.0,16003.0,16003.0,16705.026630211316,16332.34060205512,16003.0,35531.68070125362,17896.0,0.8942221725525257,0.9334503034315667,0.9126252012771077,0.8942221725525257,0.9273407558206666,0.003729572381174621
CookHLA,<1%,1920,8609,8809.0,6352.0,6352.0,6268.530698560186,6210.715464080682,6352.0,21900.72505577636,8316.0,0.7378325008711814,0.7281369146893002,0.7214212410362042,0.7378325008711814,0.9795776533896384,0.008444686162908888
CookHLA,1-5%,680,37017,37986.0,33861.0,33861.0,33147.38631613922,33436.80310249206,33861.0,86308.62239601437,37017.0,0.9147418753545669,0.8954638764929417,0.9032823595237879,0.9147418753545669,0.9629570859945605,0.0029677208932130505
CookHLA,5-10%,290,42096,42835.0,38134.0,38134.0,37652.16981220369,37830.7999857875,38134.0,73079.91283133734,42096.0,0.9058817939946788,0.8944358089177996,0.8986792090884526,0.9058817939946788,0.8831572868226811,0.004783161225559332
CookHLA,10-20%,140,41214,40365.0,37410.0,37410.0,38298.58381390675,37813.34625783637,37410.0,75551.04015112914,41214.0,0.9077012665599068,0.9292615085627881,0.9174878987197643,0.9077012665599068,0.9027515169233274,0.0036059420393878133
CookHLA,>=20%,30,17896,16837.0,15187.0,15187.0,16064.805658226835,15607.821920973956,15187.0,28372.9204691227,17896.0,0.84862539114886,0.8976757743756613,0.8721402503896936,0.84862539114886,0.8453813976597486,0.003810348140652829
AutoHLA,<1%,1920,8609,7643.0,5903.0,5903.0,6211.178742994068,5931.32894173044,5903.0,16947.137294668268,7970.0,0.6856777790684168,0.7214750543610254,0.6889683983889465,0.6856777790684168,0.9446837122508385,0.009018370002077024
AutoHLA,1-5%,680,37017,37521.0,34238.0,34238.0,33842.35785549636,33993.11323277534,34238.0,74625.91350279163,37017.0,0.9249263851743793,0.9142382649997666,0.918310863462067,0.9249263851743793,0.9314953453656977,0.0033491381793161567
AutoHLA,5-10%,290,42096,42424.0,40147.0,40147.0,39871.5626738369,39991.910779608326,40147.0,92547.08482582621,42096.0,0.9537010642341315,0.9471579882610439,0.9500168847303384,0.9537010642341315,0.9519320030940027,0.0018359715732688565
AutoHLA,10-20%,140,41214,41346.0,39713.0,39713.0,39591.97829276646,39643.324804373435,39713.0,84439.57330630561,41214.0,0.9635803367787645,0.9606439145136715,0.9618897657197417,0.9635803367787645,0.935704984708496,0.0020010768835240153
