arm,maf_bin,n_alleles,true_copies,predicted_copies,tp,sn_num,ppv_num,f1_num,cr_num,r_z_num,r_weight,sn,ppv,f1,concordance,r2,f1_fold_sd
SNP2HLA,AF=0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SNP2HLA,0-0.1%,912,746,737.0,285.0,285.0,268.65555555555557,268.3017316017316,285.0,1557.6678471801931,490.0,0.3820375335120643,0.360128090557045,0.35965379571277695,0.3820375335120643,0.9930914592325578,0.030415041726867847
SNP2HLA,0.1-0.5%,698,3028,2925.0,1660.0,1660.0,1715.3816405816406,1641.6019580518941,1660.0,5234.225852700508,2952.0,0.5482166446499339,0.5665064863215458,0.5421406730686572,0.5482166446499339,0.8910406112596232,0.017532919287319523
SNP2HLA,0.5-1%,306,4831,4809.0,3892.0,3892.0,3877.4629213350913,3860.4702880950704,3892.0,13946.50963892811,4831.0,0.8056303042848272,0.8026211801563012,0.7991037648716768,0.8056303042848272,0.9876446851176056,0.011328223339510748
SNP2HLA,1-5%,680,37017,37774.0,33627.0,33627.0,33022.69545370647,33273.998533016245,33627.0,83533.11755108472,37017.0,0.9084204554664074,0.892095400861941,0.8988842567743536,0.9084204554664074,0.9570939446613738,0.002924458132469662
SNP2HLA,5-10%,290,42096,43236.0,38540.0,38540.0,37798.5968221273,38135.85808825449,38540.0,89482.92428778451,42096.0,0.9155264158114785,0.897914215652967,0.9059259333013705,0.9155264158114785,0.9446106605402603,0.004158410780699196
SNP2HLA,10-20%,140,41214,40298.0,37978.0,37978.0,38828.75714199248,38392.48851977166,37978.0,76856.33454398697,41214.0,0.9214829912165768,0.9421254219923443,0.9315399747603158,0.9214829912165768,0.9084403918380014,0.0026142236973219096
SNP2HLA,>=20%,30,17896,17053.0,16003.0,16003.0,16705.026630211316,16332.34060205512,16003.0,35531.68070125362,17896.0,0.8942221725525257,0.9334503034315667,0.9126252012771077,0.8942221725525257,0.9273407558206666,0.003729572381174621
CookHLA,AF=0,4,4,1.0,1.0,1.0,1.0,1.0,1.0,7.254328619247669,1.0,0.25,0.25,0.25,0.25,0.9999980000009999,0.5
CookHLA,0-0.1%,912,746,777.0,353.0,353.0,332.20952380952383,331.135347985348,353.0,1890.6197487029747,529.0,0.47319034852546915,0.4453210774926593,0.44388116351923323,0.47319034852546915,0.9968588892472952,0.04685474642117509
CookHLA,0.1-0.5%,698,3028,3106.0,1923.0,1923.0,1931.8175935175937,1868.8238055344395,1923.0,6205.437870309129,2955.0,0.6350726552179656,0.6379846742132079,0.6171809133204886,0.6350726552179656,0.9417745852617394,0.01575207458317917
CookHLA,0.5-1%,306,4831,4925.0,4075.0,4075.0,4003.503581233069,4009.7563105608947,4075.0,13797.413108145007,4831.0,0.8435106603187745,0.8287111532256404,0.8300054461935199,0.8435106603187745,0.9868632095324346,0.011576489507236571
CookHLA,1-5%,680,37017,37986.0,33861.0,33861.0,33147.38631613922,33436.80310249206,33861.0,86308.62239601437,37017.0,0.9147418753545669,0.8954638764929417,0.9032823595237879,0.9147418753545669,0.9629570859945605,0.0029677208932130505
CookHLA,5-10%,290,42096,42835.0,38134.0,38134.0,37652.16981220369,37830.7999857875,38134.0,73079.91283133734,42096.0,0.9058817939946788,0.8944358089177996,0.8986792090884526,0.9058817939946788,0.8831572868226811,0.004783161225559332
CookHLA,10-20%,140,41214,40365.0,37410.0,37410.0,38298.58381390675,37813.34625783637,37410.0,75551.04015112914,41214.0,0.9077012665599068,0.9292615085627881,0.9174878987197643,0.9077012665599068,0.9027515169233274,0.0036059420393878133
CookHLA,>=20%,30,17896,16837.0,15187.0,15187.0,16064.805658226835,15607.821920973956,15187.0,28372.9204691227,17896.0,0.84862539114886,0.8976757743756613,0.8721402503896936,0.84862539114886,0.8453813976597486,0.003810348140652829
AutoHLA,AF=0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AutoHLA,0-0.1%,912,746,339.0,192.0,192.0,216.86111111111111,194.64285714285714,192.0,1026.001685607726,296.0,0.257372654155496,0.29069854036341974,0.26091535810034466,0.257372654155496,0.996105148541345,0.022915257147375127
AutoHLA,0.1-0.5%,698,3028,2561.0,1726.0,1726.0,1984.704034854035,1764.6459297596275,1726.0,4574.9768616720685,2843.0,0.5700132100396301,0.6554504738619666,0.5827760666313169,0.5700132100396301,0.8520080622863846,0.01735574660820227
AutoHLA,0.5-1%,306,4831,4743.0,3985.0,3985.0,4009.613597028922,3972.040154827956,3985.0,11346.158747388472,4831.0,0.8248809770233906,0.8299759049946019,0.8221983346776974,0.8248809770233906,0.9641744459660809,0.00766896971045484
AutoHLA,1-5%,680,37017,37521.0,34238.0,34238.0,33842.35785549636,33993.11323277534,34238.0,74625.91350279163,37017.0,0.9249263851743793,0.9142382649997666,0.918310863462067,0.9249263851743793,0.9314953453656977,0.0033491381793161567
AutoHLA,5-10%,290,42096,42424.0,40147.0,40147.0,39871.5626738369,39991.910779608326,40147.0,92547.08482582621,42096.0,0.9537010642341315,0.9471579882610439,0.9500168847303384,0.9537010642341315,0.9519320030940027,0.0018359715732688565
AutoHLA,10-20%,140,41214,41346.0,39713.0,39713.0,39591.97829276646,39643.324804373435,39713.0,84439.57330630561,41214.0,0.9635803367787645,0.9606439145136715,0.9618897657197417,0.9635803367787645,0.935704984708496,0.0020010768835240153
