arm,maf_bin,n_alleles,true_copies,predicted_copies,tp,sn_num,ppv_num,f1_num,cr_num,r_z_num,r_weight,sn,ppv,f1,concordance,r2,f1_fold_sd
SNP2HLA,<1%,120,85,77.0,63.0,63.0,67.5,64.41645021645022,63.0,377.99585394111716,70.0,0.7411764705882353,0.7941176470588235,0.7578405907817672,0.7411764705882353,0.9999183956495828,
SNP2HLA,1-5%,49,250,251.0,232.0,232.0,230.4325396825397,230.20514480359682,232.0,1318.2864675027306,240.0,0.928,0.9217301587301588,0.9208205792143873,0.928,0.9999322346858693,
SNP2HLA,5-10%,26,346,361.0,335.0,335.0,330.7291666666667,332.0703037889221,335.0,1578.1319297234318,346.0,0.9682080924855492,0.9558646435452794,0.9597407623957286,0.9682080924855492,0.9995632169542567,
SNP2HLA,10-20%,16,420,431.0,399.0,399.0,394.2442490207864,394.30116149235425,399.0,1360.634237701417,420.0,0.95,0.9386767833828248,0.9388122892675101,0.95,0.9938787195742128,
SNP2HLA,>=20%,5,285,266.0,257.0,257.0,275.9050403103595,265.62215681327615,257.0,700.4907084486485,285.0,0.9017543859649123,0.9680878607381035,0.9320075677658812,0.9017543859649123,0.9711035707987926,
CookHLA,<1%,120,85,75.0,64.0,64.0,67.7,64.38888888888889,64.0,400.76378203122647,70.0,0.7529411764705882,0.7964705882352942,0.757516339869281,0.7529411764705882,0.9999574197787177,
CookHLA,1-5%,49,250,255.0,234.0,234.0,239.2,234.38424353424352,234.0,1260.5948031603957,249.0,0.936,0.9568,0.9375369741369741,0.936,0.999839793221296,
CookHLA,5-10%,26,346,348.0,330.0,330.0,335.0534090909091,332.2388624689412,330.0,1403.581697656634,346.0,0.953757225433526,0.9683624540199685,0.9602279262108127,0.953757225433526,0.9988024694015257,
CookHLA,10-20%,16,420,432.0,396.0,396.0,386.1585460153956,390.2766325317481,396.0,996.0909981248374,420.0,0.9428571428571428,0.9194251095604656,0.9292300774565431,0.9428571428571428,0.9657593094224299,
CookHLA,>=20%,5,285,276.0,259.0,259.0,268.00652830868984,263.06663922203336,259.0,412.198130094539,285.0,0.9087719298245615,0.9403737835392626,0.9230408393755557,0.9087719298245615,0.8009545911511251,
HIBAG,<1%,120,85,69.0,64.0,64.0,65.7,64.410101010101,64.0,372.8068493781904,68.0,0.7529411764705882,0.7729411764705882,0.7577658942364823,0.7529411764705882,0.9999308095402452,
HIBAG,1-5%,49,250,250.0,241.0,241.0,243.84920634920636,241.46806804306803,241.0,1475.2034309410562,250.0,0.964,0.9753968253968254,0.9658722721722721,0.964,0.9999700310307833,
HIBAG,5-10%,26,346,358.0,344.0,344.0,339.64426406926407,341.6771292206474,344.0,2071.5969551801636,346.0,0.9942196531791907,0.9816308210094338,0.9875061538168999,0.9942196531791907,0.9999747899319618,
HIBAG,10-20%,16,420,421.0,413.0,413.0,412.77828345567474,412.3801621993956,413.0,2255.0477304832134,420.0,0.9833333333333333,0.9828054367992256,0.9818575290461801,0.9833333333333333,0.9999132145484424,
HIBAG,>=20%,5,285,288.0,284.0,284.0,281.1160725669842,282.5247008677968,284.0,952.5870104964724,285.0,0.9964912280701754,0.9863721844455586,0.9913147398870064,0.9964912280701754,0.9950135182658219,
DEEP*HLA,<1%,120,85,82.0,52.0,52.0,62.199999999999996,52.81428571428571,52.0,272.50212140943336,67.0,0.611764705882353,0.7317647058823529,0.621344537815126,0.611764705882353,0.9988275782428622,
DEEP*HLA,1-5%,49,250,247.0,205.0,205.0,229.62972582972583,209.77142270772706,205.0,769.175826724357,250.0,0.82,0.9185189033189033,0.8390856908309082,0.82,0.9915311469322059,
DEEP*HLA,5-10%,26,346,373.0,326.0,326.0,315.0055647568805,318.45781875821666,326.0,1144.2895220672838,346.0,0.9421965317919075,0.910420707389828,0.9203983201104528,0.9421965317919075,0.9946506274620455,
DEEP*HLA,10-20%,16,420,428.0,391.0,391.0,387.35023116269923,386.8964200277346,391.0,1004.6811933349534,420.0,0.930952380952381,0.9222624551492838,0.9211819524469872,0.930952380952381,0.9671089259938345,
DEEP*HLA,>=20%,5,285,256.0,249.0,249.0,278.0211176088369,261.0847464784093,249.0,441.2300442247387,285.0,0.8736842105263158,0.97551269336434,0.9160868297488045,0.8736842105263158,0.8344529596237124,
AutoHLA,<1%,120,85,81.0,61.0,61.0,60.89999999999999,59.37777777777778,61.0,301.5830958586767,68.0,0.7176470588235294,0.716470588235294,0.698562091503268,0.7176470588235294,0.9994380387908866,
AutoHLA,1-5%,49,250,265.0,237.0,237.0,230.90346320346322,232.77230617679535,237.0,1242.5081179146755,248.0,0.948,0.9236138528138529,0.9310892247071814,0.948,0.999822052389851,
AutoHLA,5-10%,26,346,345.0,335.0,335.0,343.0285714285714,338.7870173887415,335.0,1819.561145388194,346.0,0.9682080924855492,0.9914120561519405,0.9791532294472298,0.9682080924855492,0.999891791888547,
AutoHLA,10-20%,16,420,413.0,403.0,403.0,411.02565217391304,406.2845915146763,403.0,1803.8937188013042,420.0,0.9595238095238096,0.9786325051759834,0.9673442655111341,0.9595238095238096,0.9992564299776409,
AutoHLA,>=20%,5,285,282.0,275.0,275.0,278.1402354458958,276.2950125437326,275.0,572.217190320345,285.0,0.9649122807017544,0.9759306506873537,0.969456184363974,0.9649122807017544,0.9304012921037659,
AutoHLA+pair,<1%,120,85,70.0,59.0,59.0,62.86666666666666,59.22222222222222,59.0,334.597730939476,66.0,0.6941176470588235,0.7396078431372548,0.6967320261437908,0.6941176470588235,0.9998420306937733,
AutoHLA+pair,1-5%,49,250,265.0,237.0,237.0,231.92121212121214,233.2618288144604,237.0,1279.4633251251964,248.0,0.948,0.9276848484848486,0.9330473152578416,0.948,0.999867909638044,
